v170,v171,v172,v173,v174,v175,v176,v179,v182
2,2,2,2,2,2,2,2,2
1,1,2,2,2,1,2,1,1
1,2,2,2,2,1,2,1,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1
2,1,2,2,2,1,1,2,1
1,1,1,1,1,2,2,1,2
1,1,2,2,2,1,1,2,1
2,2,2,2,2,2,2,2,2
1,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,2
1,1,1,1,2,2,2,1,2
1,1,2,1,2,2,1,1,2
2,2,2,2,2,2,2,2,2
1,1,2,1,1,2,2,1,2
1,1,1,1,2,1,1,1,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,2
1,2,1,1,1,2,2,1,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,2,2
1,2,2,2,1,2,2,2,2
1,2,2,2,1,1,2,2,2
2,1,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,1,2,2,2,2,2
1,2,1,2,1,2,2,1,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,1,2
1,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,1,1,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,1,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,1,1,2,2,1,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,1,2,2,2,2
1,2,2,2,2,2,2,2,2
2,1,2,2,2,2,1,2,2
1,1,2,2,2,2,2,1,2
1,2,2,2,2,2,2,2,1
1,1,1,1,1,2,2,1,2
1,1,2,2,2,1,1,2,1
1,2,2,2,2,2,2,2,2
1,1,2,1,1,2,2,1,2
2,2,2,2,2,2,2,2,2
1,2,2,1,1,2,2,1,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
1,1,2,2,2,1,1,1,2
1,1,2,1,1,2,2,1,1
1,1,2,2,1,2,2,1,2
2,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,1,1,2,2
1,1,2,2,2,2,2,1,2
1,1,2,1,1,1,1,2,1
2,2,2,2,2,2,2,2,2
2,1,2,2,2,1,1,2,2
1,1,2,1,1,2,2,2,2
1,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,1
1,1,1,1,1,2,2,1,2
1,2,2,2,2,1,2,2,2
1,1,1,1,1,1,1,2,1
1,1,1,1,1,2,2,1,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,1,1
2,1,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
1,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2
1,1,2,2,2,1,1,2,1
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,1,1,2,2,1
2,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,1,2,2,1,2,1
1,1,2,2,2,2,1,2,2
1,2,2,2,1,2,2,2,2
1,2,2,2,1,2,2,2,2
1,1,2,2,1,1,2,2,2
1,1,1,1,1,2,2,1,2
1,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,1
1,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,1,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,1,1
1,1,2,2,2,2,2,1,2
1,1,2,1,1,1,2,1,1
1,2,2,2,1,1,2,1,1
1,1,1,1,1,1,2,1,2
1,1,2,1,2,1,2,2,2
1,2,2,2,2,1,2,2,1
2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,1,2,2
1,1,2,2,1,2,2,1,1
1,1,2,1,1,1,1,1,1
1,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,1,2,2
1,1,1,1,1,1,1,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,1,1,2,1,2
1,2,2,2,1,1,2,1,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,1,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
1,1,1,1,1,2,2,1,2
1,1,1,1,1,2,2,1,2
1,2,2,2,2,1,1,2,2
1,2,2,2,1,2,2,1,2
1,1,1,1,1,2,2,1,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,1,1,2,2,1,2
2,2,2,2,2,2,2,2,2
1,1,2,2,1,2,1,1,2
2,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,2
1,2,2,2,2,2,2,2,2
1,1,2,1,1,1,1,2,2
1,1,2,1,2,2,2,1,2
1,2,2,2,2,2,2,2,2
1,1,2,1,1,2,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,1
2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2
1,1,2,1,1,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,1,2,2,2,2
1,1,1,1,1,2,2,1,1
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,2
1,2,2,2,2,1,2,1,1
1,1,2,2,1,1,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2
1,1,1,1,1,2,2,2,2
1,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,1,2
1,2,2,1,1,2,2,1,2
2,1,1,1,1,1,1,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,1,1,2,1,2
2,2,2,2,2,2,2,2,2
2,1,2,2,2,1,2,2,2
1,1,2,2,2,2,2,2,2
1,1,2,2,1,1,1,2,1
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,1,1
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,1,1,2,1,1,1
1,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
2,1,2,2,2,1,1,2,2
1,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,1,2,2,2,1,2
2,1,1,2,1,1,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,2
1,1,2,1,2,2,1,2,1
2,2,2,2,2,2,1,2,1
2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2
1,2,2,2,2,1,2,2,1
1,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,1,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,1,1,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,1
1,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,2
2,2,2,2,2,2,2,2,2
2,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,1
1,2,2,2,1,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,1,2
1,1,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2
1,1,2,2,2,1,1,1,1
1,2,2,2,2,2,2,2,2
1,2,2,1,1,1,1,1,1
1,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,1,2,1
1,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,2
1,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,1,2,1,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,2,1,1,2,1,2
1,2,2,2,2,1,2,2,2
2,2,1,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,2,2,2
1,2,2,2,2,1,2,1,2
1,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,1,2,1,2,1,1
2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,1,2,1,1,1,1
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,1,1
2,2,2,2,2,2,2,2,2
1,2,2,2,1,2,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
2,1,2,2,2,1,1,2,2
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
2,1,2,2,2,1,1,2,2
2,1,2,2,2,1,1,2,2
1,1,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,1,2
1,2,2,2,2,1,2,1,2
2,1,2,2,2,2,2,2,2
1,1,1,1,1,2,1,1,2
1,2,2,2,2,2,2,2,2
1,1,1,1,2,1,1,1,2
1,2,2,2,2,1,2,2,2
1,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,2,2
1,1,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,1,2
1,1,1,1,1,1,1,2,1
2,1,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
1,1,1,1,1,1,2,1,2
1,2,2,2,2,2,2,1,2
2,2,2,2,2,1,1,2,2
1,2,2,2,2,2,2,2,2
1,1,1,1,2,2,2,1,2
2,2,2,2,2,1,2,2,2
1,1,2,2,2,1,1,1,1
1,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,2,2
1,1,1,1,1,2,2,1,2
1,1,2,1,2,1,2,1,2
1,1,2,1,1,1,1,1,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,2,1,2
1,1,2,2,2,1,1,1,1
1,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,2,1,2
1,1,2,2,2,1,1,2,2
2,2,2,2,2,2,1,2,2
1,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,2
1,2,2,2,1,2,2,1,1
2,2,2,2,2,2,2,2,2
1,2,2,2,1,2,2,1,2
1,2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,2
2,2,2,2,2,1,2,1,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,1,2
1,1,1,1,1,1,2,1,2
1,1,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2
1,1,2,2,2,1,1,1,2
2,2,2,2,2,2,2,2,1
1,1,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
2,1,2,2,2,1,1,2,1
1,2,2,2,2,2,2,2,2
2,1,2,2,2,2,1,2,2
1,2,2,2,1,2,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2,2
2,1,2,2,2,1,1,2,2
1,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,1,2,2,2,1,2
1,1,2,2,2,1,1,1,2
1,1,2,2,2,1,2,2,1
2,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2
1,1,2,2,2,2,2,1,2
1,1,2,2,2,1,1,1,1
2,2,2,2,2,2,2,2,1
1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2
1,1,2,2,2,1,2,1,1
